,Loading Time(ms),Data Size(MB),Execute Time Local(ms),Execute Time Server(ms), Energy(J)
input,0,0.57421875,0.001,1000,0
features.0,0.554323196,0.738578796,29.40273285,0.327679992,0
features.1,0.126600266,0.738578796,0.177383423,0.065504,0
features.2,0.095129013,0.178031921,1.722335815,0.073728003,0
features.3,0.816822052,0.533988953,5.024194717,0.475807995,0
features.4,0.168085098,0.533988953,0.094413757,0.038880002,0
features.5,0.110149384,0.123832703,0.808000565,0.057344001,0
features.6,1.309394836,0.247612,3.543615341,0.278560013,0
features.7,0.177383423,0.247612,0.075340271,0.036864001,0
features.8,1.609802246,0.165092468,4.647016525,0.335871994,0
features.9,0.176906586,0.165092468,0.063419342,0.033728,0
features.10,1.163482666,0.165092468,3.206014633,0.241567999,0
features.11,0.175952911,0.165092468,0.080347061,0.035519999,0
features.12,0.094652176,0.035209656,0.274896622,0.050912,0
avgpool,0.090837479,0.035209656,0.148296356,0.055808,0
classifier.0,0.089645386,0.035209656,0.048398972,0.028224001,0
classifier.1,56.79750443,0.015678406,7.616758347,0.706560016,0
classifier.2,0.393629074,0.015678406,0.056505203,0.038911998,0
classifier.3,0.241518021,0.015678406,0.026702881,0.023776,0
classifier.4,26.86262131,0.015678406,3.423213959,0.351936013,0
classifier.5,0.289678574,0.015678406,0.048875809,0.038176,0
classifier.6,6.285190582,0.003868103,0.924825668,0.138815999,0
